time,bpm,peak_to_peak_ms,error
0,82,756,10
756,82,696,9
1452,82,693,9
2145,82,728,9
2873,82,712,8
3585,82,771,8
4356,81,798,7
5154,81,821,6
5975,81,824,6
6799,81,797,7
7596,81,699,7
8295,81,686,8
8981,81,689,9
9670,74,751,8
10421,74,803,7
11224,74,841,7
12065,74,854,8
12919,74,830,9
13749,74,753,10
14502,74,759,9
15261,74,776,8
16037,74,812,9
16849,74,800,10
17649,74,785,10
18434,74,840,10
19274,72,863,9
20137,72,901,7
21038,72,870,8
21908,72,811,8
22719,72,820,10
23539,72,832,10
24371,73,846,9
25217,73,805,8
26022,73,771,9
26793,73,797,9
27590,73,829,8
28419,73,843,8
